"filename", "language", "CMake", "JSON", "Dart", "comment", "blank", "total"
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\lib\fluent_models.dart", "Dart", 0, 0, -9, 1, 0, -8
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\lib\fluent_routes.dart", "Dart", 0, 0, 43, 1, 0, 44
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\lib\utils.dart", "Dart", 0, 0, -9, 1, -1, -9
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\linux\CMakeLists.txt", "CMake", 118, 0, 0, 0, 28, 146
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\linux\flutter\CMakeLists.txt", "CMake", 79, 0, 0, 0, 10, 89
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\test\test.json", "JSON", 0, 1, 0, 0, 0, 1
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\windows\CMakeLists.txt", "CMake", 89, 0, 0, 0, 20, 109
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\windows\flutter\CMakeLists.txt", "CMake", 98, 0, 0, 0, 12, 110
"c:\Users\jerem\OneDrive\Documents\Projects\WeightechKiosk\WeightechFlutter\weightechapp\windows\runner\CMakeLists.txt", "CMake", 34, 0, 0, 0, 7, 41
"Total", "-", 418, 1, 25, 3, 76, 523
